Secteur,trimestre,code_region,code_dep,nombre_creation
Activites de services administratifs et de soutien,012021,93,004,79
Activites de services administratifs et de soutien,012021,93,005,57
Activites de services administratifs et de soutien,012021,93,006,506
Activites de services administratifs et de soutien,012021,93,013,609
Activites de services administratifs et de soutien,012021,93,083,474
Activites de services administratifs et de soutien,012021,93,084,194
Activites de services administratifs et de soutien,012021,94,2A,91
Activites de services administratifs et de soutien,012021,94,2B,70
Activites de services administratifs et de soutien,012022,01,971,369
Activites de services administratifs et de soutien,012022,02,972,1150
Activites de services administratifs et de soutien,012022,03,973,77
Activites de services administratifs et de soutien,012022,04,974,317
Activites de services administratifs et de soutien,012022,06,976,20
Activites de services administratifs et de soutien,012022,11,075,1131
Activites de services administratifs et de soutien,012022,11,077,483
Activites de services administratifs et de soutien,012022,11,078,320
Activites de services administratifs et de soutien,012022,11,091,365
Activites de services administratifs et de soutien,012022,11,092,388
Activites de services administratifs et de soutien,012022,11,093,602
Activites de services administratifs et de soutien,012022,11,094,345
Activites de services administratifs et de soutien,012022,11,095,319
Activites de services administratifs et de soutien,012022,24,018,101
Activites de services administratifs et de soutien,012022,24,028,173
Activites de services administratifs et de soutien,012022,24,036,75
Activites de services administratifs et de soutien,012022,24,037,171
Activites de services administratifs et de soutien,012022,24,041,98
Activites de services administratifs et de soutien,012022,24,045,177
Activites de services administratifs et de soutien,012022,24,28,1
Activites de services administratifs et de soutien,012022,27,021,168
Activites de services administratifs et de soutien,012022,27,025,140
Activites de services administratifs et de soutien,012022,27,039,113
Activites de services administratifs et de soutien,012022,27,058,68
Activites de services administratifs et de soutien,012022,27,070,154
Activites de services administratifs et de soutien,012022,27,071,169
Activites de services administratifs et de soutien,012022,27,089,107
Activites de services administratifs et de soutien,012022,27,090,40
Activites de services administratifs et de soutien,012022,28,014,219
Activites de services administratifs et de soutien,012022,28,027,159
Activites de services administratifs et de soutien,012022,28,050,175
Activites de services administratifs et de soutien,012022,28,061,97
Activites de services administratifs et de soutien,012022,28,076,252
Activites de services administratifs et de soutien,012022,28,14,1
Activites de services administratifs et de soutien,012022,32,002,114
Activites de services administratifs et de soutien,012022,32,059,464
Activites de services administratifs et de soutien,012022,32,060,257
Activites de services administratifs et de soutien,012022,32,062,266
Activites de services administratifs et de soutien,012022,32,080,144
Activites de services administratifs et de soutien,012022,32,62,2
Activites de services administratifs et de soutien,012022,44,008,87
Activites de services administratifs et de soutien,012022,44,010,69
Activites de services administratifs et de soutien,012022,44,051,185
Activites de services administratifs et de soutien,012022,44,052,53
Activites de services administratifs et de soutien,012022,44,054,169
Activites de services administratifs et de soutien,012022,44,055,26
Activites de services administratifs et de soutien,012022,44,057,221
Activites de services administratifs et de soutien,012022,44,067,315
Activites de services administratifs et de soutien,012022,44,068,159
Activites de services administratifs et de soutien,012022,44,088,116
Activites de services administratifs et de soutien,012022,52,044,393
Activites de services administratifs et de soutien,012022,52,049,154
Activites de services administratifs et de soutien,012022,52,053,68
Activites de services administratifs et de soutien,012022,52,072,94
Activites de services administratifs et de soutien,012022,52,085,198
Activites de services administratifs et de soutien,012022,52,44,3
Activites de services administratifs et de soutien,012022,53,022,155
Activites de services administratifs et de soutien,012022,53,029,163
